"Name","Year","file","Organization_type","Size","Sector","Sec_SASB","Country","Region","OECD","english_non_english"
"Syncrude",2016,"Syncrude_2016","Partnership","Large","Energy","Extractives and Minerals Processing","Canada","Northern America",NA,"english"
"Syngenta Brazil",2016,"SyngentaBrazil_2016","Subsidiary","Large","Agriculture","Food and Beverage","Brazil","Latin America & the Caribbean",NA,"english"
"Synnex Technology International Corp.",2016,"SynnexTechnologyInternationalCorp._2016","Private company","MNE","Commercial Services","Financials","Taiwan","Asia","No","non-english"
"Syn-Tech Chem. & Pharm. Co., Ltd.",2016,"Syn-TechChem.&Pharm.Co.,Ltd._2016","Private company","Large","Healthcare Services","Healthcare","Taiwan","Asia","No","non-english"
"Sysmex",2016,"Sysmex_2016","Private company","MNE","Equipment","Resource Transformation","Japan","Asia","No","english"
"Systemair",2016,"Systemair_2016","Private company","Large","Equipment","Resource Transformation","Sweden","Europe","No","english"
"Szerencsejatek",2016,"Szerencsejatek_2016","State-owned company","Large","Tourism/Leisure","Tourism/Leisure","Hungary","Europe","No","non-english"
"T & D Holdings",2016,"T&DHoldings_2016","Private company","MNE","Financial Services","Financials","Japan","Asia","No","english"
"T.N.C. Industrial Co., Ltd.",2016,"T.N.C.IndustrialCo.,Ltd._2016","Private company","MNE","Chemicals","Resource Transformation","Taiwan","Asia","No","non-english"
"Ta Ching Securities Co., Ltd. (TA CHING)",2016,"TaChingSecuritiesCo.,Ltd.(TACHING)_2016","Private company","Large","Financial Services","Financials","Taiwan","Asia","No","non-english"
"Ta Ya Electric Wire & Cable",2016,"TaYaElectricWire&Cable_2016","Private company","MNE","Metals Products","Extractives and Minerals Processing","Taiwan","Asia","No","english"
"Tabcorp",2016,"Tabcorp_2016","Private company","Large","Tourism/Leisure","Tourism/Leisure","Australia","Oceania",NA,"english"
"Tachan Securities Co., Ltd.",2016,"TachanSecuritiesCo.,Ltd._2016","Private company","Large","Financial Services","Financials","Taiwan","Asia","No","non-english"
"TaeKwang",2016,"TaeKwang_2016","Private company","Large","Textiles and Apparel","Consumer Goods","Korea, Republic of","Asia",NA,"english"
"TAESA",2016,"TAESA_2016","Private company","SME","Energy","Extractives and Minerals Processing","Brazil","Latin America & the Caribbean",NA,"non-english"
"Tai Roun Products Co., Ltd.",2016,"TaiRounProductsCo.,Ltd._2016","Private company","MNE","Food and Beverage Products","Food and Beverage","Taiwan","Asia","No","non-english"
"Taichung Commercial Bank Co., Ltd.",2016,"TaichungCommercialBankCo.,Ltd._2016","Private company","Large","Financial Services","Financials","Taiwan","Asia","No","non-english"
"Taiheiyo Cement",2016,"TaiheiyoCement_2016","Private company","Large","Construction Materials","Extractives and Minerals Processing","Japan","Asia","No","english"
"Taiji Computer",2016,"Taiji Computer_2016","Private company","Large","Telecommunications","Technology and Communications","Mainland China","Asia",NA,"non-english"
"Taiming Assurance Broker Co., Ltd.",2016,"TaimingAssuranceBrokerCo.,Ltd._2016","Private company","Large","Financial Services","Financials","Taiwan","Asia","No","non-english"
"Tainan Spinning Co., Ltd.",2016,"TainanSpinningCo.,Ltd._2016","Private company","MNE","Textiles and Apparel","Consumer Goods","Taiwan","Asia","No","non-english"
"Taipei Financial Center Corp.",2016,"TaipeiFinancialCenterCorp._2016","Private company","Large","Real Estate","Infrastructure","Taiwan","Asia","No","non-english"
"Taisei",2016,"Taisei_2016","Private company","MNE","Construction","Infrastructure","Japan","Asia",NA,"non-english"
"Taishin Financial Holding (TSFHC)",2016,"TaishinFinancialHolding(TSFHC)_2016","Private company","MNE","Financial Services","Financials","Taiwan","Asia","No","non-english"
"Tait Marketing & Distribution Co., Ltd.",2016,"TaitMarketing&DistributionCo.,Ltd._2016","Private company","Large","Retailers","Consumer Goods","Taiwan","Asia","No","non-english"
"Taita Chemical Co., Ltd.",2016,"TaitaChemicalCo.,Ltd._2016","Private company","MNE","Chemicals","Resource Transformation","Taiwan","Asia","No","non-english"
"Taitien Electronics",2016,"TaitienElectronics_2016","Private company","MNE","Technology Hardware","Technology and Communications","Taiwan","Asia",NA,"non-english"
