"Name","Year","file","Organization_type","Size","Sector","Sec_SASB","Country","Region","OECD","english_non_english"
"Procter & Gamble",1999,"Procter&Gamble_1999",NA,"Large","Household and Personal Products","Consumer Goods","United States of America","Northern America",NA,"english"
"Banrisul",2000,"Banrisul_2000",NA,"Large","Financial Services","Financials","Brazil","Latin America & the Caribbean",NA,"non-english"
"Hitachi High-Technologies Corp.",2000,"HitachiHigh-TechnologiesCorp._2000",NA,"MNE","Conglomerates","Conglomerates","Japan","Asia",NA,"english"
"Procter & Gamble",2000,"Procter&Gamble_2000",NA,"Large","Household and Personal Products","Consumer Goods","United States of America","Northern America",NA,"english"
"Vancity",2000,"Vancity_2000",NA,"Large","Financial Services","Financials","Canada","Northern America",NA,"english"
"Aspen Snowmass",2001,"AspenSnowmass_2001",NA,"SME","Tourism/Leisure","Tourism/Leisure","United States of America","Northern America",NA,"english"
"Banrisul",2001,"Banrisul_2001",NA,"Large","Financial Services","Financials","Brazil","Latin America & the Caribbean",NA,"non-english"
"Ericsson",2001,"Ericsson_2001",NA,"Large","Telecommunications","Technology and Communications","Sweden","Europe",NA,"english"
"Nichicon",2001,"Nichicon_2001",NA,"Large","Equipment","Resource Transformation","Japan","Asia",NA,"english"
"Procter & Gamble",2001,"Procter&Gamble_2001",NA,"Large","Household and Personal Products","Consumer Goods","United States of America","Northern America",NA,"english"
"Ricoh",2001,"Ricoh_2001",NA,"MNE","Technology Hardware","Technology and Communications","Japan","Asia",NA,"english"
"Yanacocha",2001,"Yanacocha_2001",NA,"Large","Mining","Extractives and Minerals Processing","Peru","Latin America & the Caribbean",NA,"non-english"
"Aspen Snowmass",2002,"AspenSnowmass_2002",NA,"SME","Tourism/Leisure","Tourism/Leisure","United States of America","Northern America",NA,"english"
"Banrisul",2002,"Banrisul_2002",NA,"Large","Financial Services","Financials","Brazil","Latin America & the Caribbean",NA,"non-english"
"Canfor Corp.",2002,"CanforCorp._2002",NA,"MNE","Forest and Paper Products","Renewable Resources & Alternative Energy","Canada","Northern America",NA,"english"
"Codelco",2002,"Codelco_2002",NA,"Large","Mining","Extractives and Minerals Processing","Chile","Latin America & the Caribbean",NA,"non-english"
"JFE Holdings",2002,"JFEHoldings_2002",NA,"MNE","Conglomerates","Conglomerates","Japan","Asia",NA,"english"
"Nichicon",2002,"Nichicon_2002",NA,"Large","Equipment","Resource Transformation","Japan","Asia",NA,"english"
"Procter & Gamble",2002,"Procter&Gamble_2002",NA,"Large","Household and Personal Products","Consumer Goods","United States of America","Northern America",NA,"english"
"Ricoh",2002,"Ricoh_2002",NA,"MNE","Technology Hardware","Technology and Communications","Japan","Asia",NA,"english"
"Starbucks Coffee Company",2002,"StarbucksCoffeeCompany_2002",NA,"MNE","Food and Beverage Products","Food and Beverage","United States of America","Northern America",NA,"english"
"TIM",2002,"TIM_2002",NA,"Large","Telecommunications","Technology and Communications","Italy","Europe",NA,"english"
"Toppan",2002,"Toppan_2002",NA,"Large","Other","Other","Japan","Asia",NA,"english"
"Vancity",2002,"Vancity_2002",NA,"Large","Financial Services","Financials","Canada","Northern America",NA,"english"
"Vodafone Italy",2002,"VodafoneItaly_2002",NA,"Large","Telecommunications","Technology and Communications","Italy","Europe",NA,"non-english"
"Westpac Banking Corporation",2002,"WestpacBankingCorporation_2002",NA,"MNE","Financial Services","Financials","Australia","Oceania",NA,"english"
"Aspen Snowmass",2003,"AspenSnowmass_2003",NA,"SME","Tourism/Leisure","Tourism/Leisure","United States of America","Northern America",NA,"english"
"Banrisul",2003,"Banrisul_2003",NA,"Large","Financial Services","Financials","Brazil","Latin America & the Caribbean",NA,"non-english"
"Canfor Corp.",2003,"CanforCorp._2003",NA,"MNE","Forest and Paper Products","Renewable Resources & Alternative Energy","Canada","Northern America",NA,"english"
"Citigroup",2003,"Citigroup_2003",NA,"MNE","Financial Services","Financials","United States of America","Northern America",NA,"english"
"Codelco",2003,"Codelco_2003",NA,"Large","Mining","Extractives and Minerals Processing","Chile","Latin America & the Caribbean",NA,"non-english"
"DIC Corporation",2003,"DICCorporation_2003",NA,"Large","Chemicals","Resource Transformation","Japan","Asia",NA,"english"
"Gas Natural SDG",2003,"GasNaturalSDG_2003",NA,"Large","Energy Utilities","Infrastructure","Spain","Europe",NA,"non-english"
"Gaz de France",2003,"GazdeFrance_2003",NA,"Large","Energy Utilities","Infrastructure","France","Europe",NA,"non-english"
"Industria Mexicana de Coca-Cola",2003,"IndustriaMexicanadeCoca-Cola_2003",NA,"Large","Food and Beverage Products","Food and Beverage","Mexico","Latin America & the Caribbean",NA,"non-english"
"JFE Holdings",2003,"JFEHoldings_2003",NA,"MNE","Conglomerates","Conglomerates","Japan","Asia",NA,"english"
"Mandom",2003,"Mandom_2003",NA,"Large","Consumer Durables","Consumer Goods","Japan","Asia",NA,"non-english"
"Motor Oil Hellas",2003,"MotorOilHellas_2003",NA,"MNE","Energy","Extractives and Minerals Processing","Greece","Europe",NA,"english"
"Nichicon",2003,"Nichicon_2003",NA,"Large","Equipment","Resource Transformation","Japan","Asia",NA,"english"
"Procter & Gamble",2003,"Procter&Gamble_2003",NA,"Large","Household and Personal Products","Consumer Goods","United States of America","Northern America",NA,"english"
"Ricoh",2003,"Ricoh_2003",NA,"MNE","Technology Hardware","Technology and Communications","Japan","Asia",NA,"english"
"Starbucks Coffee Company",2003,"StarbucksCoffeeCompany_2003",NA,"MNE","Food and Beverage Products","Food and Beverage","United States of America","Northern America",NA,"english"
"Syncrude",2003,"Syncrude_2003",NA,"Large","Energy","Extractives and Minerals Processing","Canada","Northern America",NA,"english"
"TIM",2003,"TIM_2003",NA,"Large","Telecommunications","Technology and Communications","Italy","Europe",NA,"english"
"Toppan",2003,"Toppan_2003",NA,"Large","Other","Other","Japan","Asia",NA,"english"
"Vancity",2003,"Vancity_2003",NA,"Large","Financial Services","Financials","Canada","Northern America",NA,"english"
"Vodafone Greece",2003,"VodafoneGreece_2003",NA,"Large","Telecommunications","Technology and Communications","Greece","Europe",NA,"english"
"ABB Asea Brown Boveri Ltd",2004,"ABBAseaBrownBoveriLtd_2004",NA,"MNE","Equipment","Resource Transformation","Switzerland","Europe",NA,"english"
"AECA",2004,"AECA_2004",NA,"Large","Non-Profit / Services","Non-Profit / Services","Spain","Europe",NA,"non-english"
"AECI",2004,"AECI_2004",NA,"Large","Chemicals","Resource Transformation","South Africa","Africa",NA,"english"
"Aspen Snowmass",2004,"AspenSnowmass_2004",NA,"SME","Tourism/Leisure","Tourism/Leisure","United States of America","Northern America",NA,"english"
"Banrisul",2004,"Banrisul_2004",NA,"Large","Financial Services","Financials","Brazil","Latin America & the Caribbean",NA,"non-english"
"Canfor Corp.",2004,"CanforCorp._2004",NA,"MNE","Forest and Paper Products","Renewable Resources & Alternative Energy","Canada","Northern America",NA,"english"
"Citigroup",2004,"Citigroup_2004",NA,"MNE","Financial Services","Financials","United States of America","Northern America",NA,"english"
"Codelco",2004,"Codelco_2004",NA,"Large","Mining","Extractives and Minerals Processing","Chile","Latin America & the Caribbean",NA,"non-english"
"Contratas y Obras Empresa Constructora",2004,"ContratasyObrasEmpresaConstructora_2004",NA,"Large","Construction","Infrastructure","Spain","Europe",NA,"non-english"
"Diageo",2004,"Diageo_2004",NA,"MNE","Food and Beverage Products","Food and Beverage","United Kingdom of Great Britain and Northern Ireland","Europe",NA,"english"
"DIC Corporation",2004,"DICCorporation_2004",NA,"Large","Chemicals","Resource Transformation","Japan","Asia",NA,"english"
"Dow Chemical",2004,"DowChemical_2004",NA,"Large","Chemicals","Resource Transformation","United States of America","Northern America",NA,"english"
"Gas Natural SDG",2004,"GasNaturalSDG_2004",NA,"Large","Energy Utilities","Infrastructure","Spain","Europe",NA,"non-english"
"Gruppo Hera",2004,"GruppoHera_2004",NA,"Large","Energy Utilities","Infrastructure","Italy","Europe",NA,"english"
"H&M (Hennes & Mauritz)",2004,"H&M(Hennes&Mauritz)_2004",NA,"Large","Retailers","Consumer Goods","Sweden","Europe",NA,"english"
"Holcim Technology Ltd.",2004,"HolcimTechnologyLtd._2004",NA,"Large","Construction Materials","Extractives and Minerals Processing","Switzerland","Europe",NA,"english"
"HypoVereinsbank (HVB) - UniCredit AG",2004,"HypoVereinsbank(HVB)-UniCreditAG_2004",NA,"Large","Financial Services","Financials","Germany","Europe",NA,"non-english"
"IBM",2004,"IBM_2004",NA,"MNE","Computers","Technology and Communications","United States of America","Northern America",NA,"english"
"Industria Mexicana de Coca-Cola",2004,"IndustriaMexicanadeCoca-Cola_2004",NA,"Large","Food and Beverage Products","Food and Beverage","Mexico","Latin America & the Caribbean",NA,"non-english"
"Mandom",2004,"Mandom_2004",NA,"Large","Consumer Durables","Consumer Goods","Japan","Asia",NA,"non-english"
"memo AG",2004,"memoAG_2004",NA,"SME","Consumer Durables","Consumer Goods","Germany","Europe",NA,"non-english"
"Motor Oil Hellas",2004,"MotorOilHellas_2004",NA,"MNE","Energy","Extractives and Minerals Processing","Greece","Europe",NA,"english"
"National Australia Bank (NAB)",2004,"NationalAustraliaBank(NAB)_2004",NA,"MNE","Financial Services","Financials","Australia","Oceania",NA,"english"
"Nichicon",2004,"Nichicon_2004",NA,"Large","Equipment","Resource Transformation","Japan","Asia",NA,"english"
"Procter & Gamble",2004,"Procter&Gamble_2004",NA,"Large","Household and Personal Products","Consumer Goods","United States of America","Northern America",NA,"english"
"Ricoh",2004,"Ricoh_2004",NA,"MNE","Technology Hardware","Technology and Communications","Japan","Asia",NA,"english"
"Starbucks Coffee Company",2004,"StarbucksCoffeeCompany_2004",NA,"MNE","Food and Beverage Products","Food and Beverage","United States of America","Northern America",NA,"english"
"SUEZ (Water Spain)",2004,"SUEZ(WaterSpain)_2004",NA,"Large","Water Utilities","Infrastructure","Spain","Europe",NA,"english"
"Sumitomo Chemicals",2004,"SumitomoChemicals_2004",NA,"MNE","Chemicals","Resource Transformation","Japan","Asia",NA,"english"
"Syncrude",2004,"Syncrude_2004",NA,"Large","Energy","Extractives and Minerals Processing","Canada","Northern America",NA,"english"
"TIM",2004,"TIM_2004",NA,"Large","Telecommunications","Technology and Communications","Italy","Europe",NA,"english"
"Vancity",2004,"Vancity_2004",NA,"Large","Financial Services","Financials","Canada","Northern America",NA,"english"
"Vodafone Espana",2004,"VodafoneEspana_2004",NA,"Large","Telecommunications","Technology and Communications","Spain","Europe",NA,"non-english"
"Vodafone Italy",2004,"VodafoneItaly_2004",NA,"Large","Telecommunications","Technology and Communications","Italy","Europe",NA,"non-english"
"Wilson Bayly Holmes-Ovcon",2004,"WilsonBaylyHolmes-Ovcon_2004",NA,"Large","Other","Other","South Africa","Africa",NA,"english"
"Aargau",2005,"Aargau_2005",NA,"Large","Public Agency","Services","Switzerland","Europe",NA,"non-english"
"ABB Asea Brown Boveri Ltd",2005,"ABBAseaBrownBoveriLtd_2005",NA,"MNE","Equipment","Resource Transformation","Switzerland","Europe",NA,"english"
"AECI",2005,"AECI_2005",NA,"Large","Chemicals","Resource Transformation","South Africa","Africa",NA,"english"
"Aspen Snowmass",2005,"AspenSnowmass_2005",NA,"SME","Tourism/Leisure","Tourism/Leisure","United States of America","Northern America",NA,"english"
"Axel Springer",2005,"AxelSpringer_2005",NA,"Large","Media","Technology and Communications","Germany","Europe",NA,"non-english"
"Banrisul",2005,"Banrisul_2005",NA,"Large","Financial Services","Financials","Brazil","Latin America & the Caribbean",NA,"non-english"
"British American Tobacco Malaysia",2005,"BritishAmericanTobaccoMalaysia_2005",NA,"Large","Tobacco","Food and Beverage","Malaysia","Asia",NA,"english"
"Canfor Corp.",2005,"CanforCorp._2005",NA,"MNE","Forest and Paper Products","Renewable Resources & Alternative Energy","Canada","Northern America",NA,"english"
"Cisco Systems, Inc.",2005,"CiscoSystems,Inc._2005",NA,"MNE","Technology Hardware","Technology and Communications","United States of America","Northern America",NA,"english"
"Citigroup",2005,"Citigroup_2005",NA,"MNE","Financial Services","Financials","United States of America","Northern America",NA,"english"
"Codelco",2005,"Codelco_2005",NA,"Large","Mining","Extractives and Minerals Processing","Chile","Latin America & the Caribbean",NA,"non-english"
"Diageo",2005,"Diageo_2005",NA,"MNE","Food and Beverage Products","Food and Beverage","United Kingdom of Great Britain and Northern Ireland","Europe",NA,"english"
"DIC Corporation",2005,"DICCorporation_2005",NA,"Large","Chemicals","Resource Transformation","Japan","Asia",NA,"english"
"Dow Chemical",2005,"DowChemical_2005",NA,"Large","Chemicals","Resource Transformation","United States of America","Northern America",NA,"english"
"Edipower",2005,"Edipower_2005",NA,"Large","Energy","Extractives and Minerals Processing","Italy","Europe",NA,"non-english"
"Egged Israel Transport Cooperative Society",2005,"EggedIsraelTransportCooperativeSociety_2005",NA,"Large","Logistics","Transportation","Israel","Asia",NA,"non-english"
"Epson (Seiko Epson)",2005,"Epson(SeikoEpson)_2005",NA,"MNE","Technology Hardware","Technology and Communications","Japan","Asia",NA,"english"
"Gas Natural SDG",2005,"GasNaturalSDG_2005",NA,"Large","Energy Utilities","Infrastructure","Spain","Europe",NA,"non-english"
"GRI",2005,"GRI_2005",NA,"SME","Non-Profit / Services","Non-Profit / Services","Netherlands","Europe",NA,"english"
"Heidelberger Druckmaschinen",2005,"HeidelbergerDruckmaschinen_2005",NA,"Large","Equipment","Resource Transformation","Germany","Europe",NA,"non-english"
"Henkel",2005,"Henkel_2005",NA,"MNE","Household and Personal Products","Consumer Goods","Germany","Europe",NA,"english"
"Holcim Brazil",2005,"HolcimBrazil_2005",NA,"Large","Construction Materials","Extractives and Minerals Processing","Brazil","Latin America & the Caribbean",NA,"non-english"
"Holcim Switzerland",2005,"HolcimSwitzerland_2005",NA,"Large","Construction Materials","Extractives and Minerals Processing","Switzerland","Europe",NA,"non-english"
"HypoVereinsbank (HVB) - UniCredit AG",2005,"HypoVereinsbank(HVB)-UniCreditAG_2005",NA,"Large","Financial Services","Financials","Germany","Europe",NA,"non-english"
"Industria Mexicana de Coca-Cola",2005,"IndustriaMexicanadeCoca-Cola_2005",NA,"Large","Food and Beverage Products","Food and Beverage","Mexico","Latin America & the Caribbean",NA,"non-english"
"Intesa Sanpaolo",2005,"IntesaSanpaolo_2005",NA,"Large","Financial Services","Financials","Italy","Europe",NA,"english"
"JFE Holdings",2005,"JFEHoldings_2005",NA,"MNE","Conglomerates","Conglomerates","Japan","Asia",NA,"english"
"KBC Group",2005,"KBCGroup_2005",NA,"Large","Financial Services","Financials","Belgium","Europe",NA,"english"
"Kureha Chemical Industries",2005,"KurehaChemicalIndustries_2005",NA,"Large","Chemicals","Resource Transformation","Japan","Asia",NA,"non-english"
"Lennar Corporation",2005,"LennarCorporation_2005",NA,"Large","Construction","Infrastructure","United States of America","Northern America",NA,"english"
"Mandom",2005,"Mandom_2005",NA,"Large","Consumer Durables","Consumer Goods","Japan","Asia",NA,"non-english"
"Mango Group",2005,"MangoGroup_2005",NA,"Large","Textiles and Apparel","Consumer Goods","Spain","Europe",NA,"english"
"Mazda",2005,"Mazda_2005",NA,"Large","Automotive","Transportation","Japan","Asia",NA,"english"
"Motor Oil Hellas",2005,"MotorOilHellas_2005",NA,"MNE","Energy","Extractives and Minerals Processing","Greece","Europe",NA,"english"
"National Australia Bank (NAB)",2005,"NationalAustraliaBank(NAB)_2005",NA,"MNE","Financial Services","Financials","Australia","Oceania",NA,"english"
"Nexity",2005,"Nexity_2005",NA,"MNE","Real Estate","Infrastructure","France","Europe",NA,"non-english"
"Next PLC",2005,"NextPLC_2005",NA,"MNE","Retailers","Consumer Goods","United Kingdom of Great Britain and Northern Ireland","Europe",NA,"english"
"Nichicon",2005,"Nichicon_2005",NA,"Large","Equipment","Resource Transformation","Japan","Asia",NA,"english"
"Nitto Denko",2005,"NittoDenko_2005",NA,"MNE","Other","Other","Japan","Asia",NA,"english"
"Osaka Gas",2005,"OsakaGas_2005",NA,"Large","Energy","Extractives and Minerals Processing","Japan","Asia",NA,"english"
"Procter & Gamble",2005,"Procter&Gamble_2005",NA,"Large","Household and Personal Products","Consumer Goods","United States of America","Northern America",NA,"english"
"Ricoh",2005,"Ricoh_2005",NA,"MNE","Technology Hardware","Technology and Communications","Japan","Asia",NA,"english"
"Sanlam",2005,"Sanlam_2005",NA,"Large","Financial Services","Financials","South Africa","Africa",NA,"non-english"
"Sumitomo Chemicals",2005,"SumitomoChemicals_2005",NA,"MNE","Chemicals","Resource Transformation","Japan","Asia",NA,"english"
"Sunoco",2005,"Sunoco_2005",NA,"Large","Chemicals","Resource Transformation","United States of America","Northern America",NA,"english"
"TIM",2005,"TIM_2005",NA,"Large","Telecommunications","Technology and Communications","Italy","Europe",NA,"english"
"Toshiba",2005,"Toshiba_2005",NA,"MNE","Conglomerates","Conglomerates","Japan","Asia",NA,"english"
"Universität für Bodenkultur Wien",2005,"UniversitätfürBodenkulturWien_2005",NA,"Large","Universities","Services","Austria","Europe",NA,"english"
"Vodafone Espana",2005,"VodafoneEspana_2005",NA,"Large","Telecommunications","Technology and Communications","Spain","Europe",NA,"english"
"Vodafone Italy",2005,"VodafoneItaly_2005",NA,"Large","Telecommunications","Technology and Communications","Italy","Europe",NA,"non-english"
"Vodafone Netherlands",2005,"VodafoneNetherlands_2005",NA,"Large","Telecommunications","Technology and Communications","Netherlands","Europe",NA,"non-english"
"Vodafone NZ",2005,"VodafoneNZ_2005",NA,"Large","Telecommunications","Technology and Communications","New Zealand","Oceania",NA,"english"
"Wilson Bayly Holmes-Ovcon",2005,"WilsonBaylyHolmes-Ovcon_2005",NA,"Large","Other","Other","South Africa","Africa",NA,"english"
"ABB Asea Brown Boveri Ltd",2006,"ABBAseaBrownBoveriLtd_2006",NA,"MNE","Equipment","Resource Transformation","Switzerland","Europe",NA,"english"
"AECA",2006,"AECA_2006",NA,"Large","Non-Profit / Services","Non-Profit / Services","Spain","Europe",NA,"non-english"
"AECI",2006,"AECI_2006",NA,"Large","Chemicals","Resource Transformation","South Africa","Africa",NA,"english"
"Alpine Electronics",2006,"AlpineElectronics_2006",NA,"MNE","Consumer Durables","Consumer Goods","Japan","Asia",NA,"english"
"Alps Electric",2006,"AlpsElectric_2006",NA,"MNE","Equipment","Resource Transformation","Japan","Asia",NA,"english"
"Asahi Group Holdings",2006,"AsahiGroupHoldings_2006",NA,"MNE","Food and Beverage Products","Food and Beverage","Japan","Asia",NA,"english"
"ASUSTEK",2006,"ASUSTEK_2006",NA,"MNE","Computers","Technology and Communications","Taiwan","Asia",NA,"non-english"
"AT&T",2006,"AT&T_2006",NA,"MNE","Telecommunications","Technology and Communications","United States of America","Northern America",NA,"english"
"BA",2006,"BA_2006",NA,"Large","Household and Personal Products","Consumer Goods","Portugal","Europe",NA,"non-english"
"Banrisul",2006,"Banrisul_2006",NA,"Large","Financial Services","Financials","Brazil","Latin America & the Caribbean",NA,"non-english"
"British American Tobacco Malaysia",2006,"BritishAmericanTobaccoMalaysia_2006",NA,"Large","Tobacco","Food and Beverage","Malaysia","Asia",NA,"non-english"
"Canfor Corp.",2006,"CanforCorp._2006",NA,"MNE","Forest and Paper Products","Renewable Resources & Alternative Energy","Canada","Northern America",NA,"english"
"Center for Human Rights and Environment (CHRE)",2006,"CenterforHumanRightsandEnvironment(CHRE)_2006",NA,"SME","Non-Profit / Services","Non-Profit / Services","United States of America","Northern America",NA,"non-english"
"China Steel Corporation (CSC)",2006,"ChinaSteelCorporation(CSC)_2006",NA,"MNE","Metals Products","Extractives and Minerals Processing","Taiwan","Asia",NA,"non-english"
"Cisco Systems, Inc.",2006,"CiscoSystems,Inc._2006",NA,"MNE","Technology Hardware","Technology and Communications","United States of America","Northern America",NA,"english"
"Citigroup",2006,"Citigroup_2006",NA,"MNE","Financial Services","Financials","United States of America","Northern America",NA,"english"
"Codelco",2006,"Codelco_2006",NA,"Large","Mining","Extractives and Minerals Processing","Chile","Latin America & the Caribbean",NA,"non-english"
"Comarca Gipuzkoa - Osakidetza",2006,"ComarcaGipuzkoa-Osakidetza_2006",NA,"Large","Healthcare Services","Healthcare","Spain","Europe",NA,"non-english"
"Contratas y Obras Empresa Constructora",2006,"ContratasyObrasEmpresaConstructora_2006",NA,"Large","Construction","Infrastructure","Spain","Europe",NA,"non-english"
"Dai Nippon Printing",2006,"DaiNipponPrinting_2006",NA,"Large","Other","Other","Japan","Asia",NA,"english"
"Dainippon Screen",2006,"DainipponScreen_2006",NA,"Large","Technology Hardware","Technology and Communications","Japan","Asia",NA,"english"
"Daiwa House",2006,"DaiwaHouse_2006",NA,"Large","Construction","Infrastructure","Japan","Asia",NA,"non-english"
"DIC Corporation",2006,"DICCorporation_2006",NA,"Large","Chemicals","Resource Transformation","Japan","Asia",NA,"english"
"Dow Chemical",2006,"DowChemical_2006",NA,"Large","Chemicals","Resource Transformation","United States of America","Northern America",NA,"english"
"Eli Lilly",2006,"EliLilly_2006",NA,"MNE","Healthcare Products","Healthcare","United States of America","Northern America",NA,"english"
"EPAL",2006,"EPAL_2006",NA,"Large","Water Utilities","Infrastructure","Portugal","Europe",NA,"non-english"
"ESPEC",2006,"ESPEC_2006",NA,"MNE","Equipment","Resource Transformation","Japan","Asia",NA,"non-english"
"European Investment Bank (EIB)",2006,"EuropeanInvestmentBank(EIB)_2006",NA,"Large","Financial Services","Financials","Luxembourg","Europe",NA,"english"
"Findomestic",2006,"Findomestic_2006",NA,"Large","Financial Services","Financials","Italy","Europe",NA,"non-english"
"Fondaction CSN",2006,"FondactionCSN_2006",NA,"SME","Financial Services","Financials","Canada","Northern America",NA,"non-english"
"Gas Natural Fenosa Argentina",2006,"GasNaturalFenosaArgentina_2006",NA,"MNE","Energy","Extractives and Minerals Processing","Argentina","Latin America & the Caribbean",NA,"non-english"
"Gas Natural SDG",2006,"GasNaturalSDG_2006",NA,"Large","Energy Utilities","Infrastructure","Spain","Europe",NA,"non-english"
"Gerdau",2006,"Gerdau_2006",NA,"Large","Construction","Infrastructure","Chile","Latin America & the Caribbean",NA,"non-english"
"Heidelberger Druckmaschinen",2006,"HeidelbergerDruckmaschinen_2006",NA,"Large","Equipment","Resource Transformation","Germany","Europe",NA,"non-english"
"Henkel",2006,"Henkel_2006",NA,"MNE","Household and Personal Products","Consumer Goods","Germany","Europe",NA,"english"
"HiPP GmbH & Co. Produktion KG",2006,"HiPPGmbH&Co.ProduktionKG_2006",NA,"Large","Food and Beverage Products","Food and Beverage","Germany","Europe",NA,"non-english"
"Hitachi High-Technologies Corp.",2006,"HitachiHigh-TechnologiesCorp._2006",NA,"MNE","Conglomerates","Conglomerates","Japan","Asia",NA,"non-english"
"Holcim Technology Ltd.",2006,"HolcimTechnologyLtd._2006",NA,"Large","Construction Materials","Extractives and Minerals Processing","Switzerland","Europe",NA,"english"
"House Foods",2006,"HouseFoods_2006",NA,"Large","Food and Beverage Products","Food and Beverage","Japan","Asia",NA,"non-english"
"HypoVereinsbank (HVB) - UniCredit AG",2006,"HypoVereinsbank(HVB)-UniCreditAG_2006",NA,"Large","Financial Services","Financials","Germany","Europe",NA,"non-english"
"Iino Lines",2006,"IinoLines_2006",NA,"Large","Logistics","Transportation","Japan","Asia",NA,"english"
"Iseki",2006,"Iseki_2006",NA,"Large","Equipment","Resource Transformation","Japan","Asia",NA,"english"
"Itoham",2006,"Itoham_2006",NA,"Large","Food and Beverage Products","Food and Beverage","Japan","Asia",NA,"non-english"
"Iwatani",2006,"Iwatani_2006",NA,"MNE","Energy Utilities","Infrastructure","Japan","Asia",NA,"english"
"Joshin",2006,"Joshin_2006",NA,"SME","Retailers","Consumer Goods","Japan","Asia",NA,"non-english"
"J-Power",2006,"J-Power_2006",NA,"Large","Energy","Extractives and Minerals Processing","Japan","Asia",NA,"non-english"
"Kajima",2006,"Kajima_2006",NA,"Large","Construction","Infrastructure","Japan","Asia",NA,"english"
"KBC Group",2006,"KBCGroup_2006",NA,"Large","Financial Services","Financials","Belgium","Europe",NA,"english"
"Kimberly-Clark",2006,"Kimberly-Clark_2006",NA,"Large","Household and Personal Products","Consumer Goods","United States of America","Northern America",NA,"english"
"KOBE STEEL, LTD. (Kobelco)",2006,"KOBESTEEL,LTD.(Kobelco)_2006",NA,"MNE","Metals Products","Extractives and Minerals Processing","Japan","Asia",NA,"non-english"
"Konica Minolta Group",2006,"KonicaMinoltaGroup_2006",NA,"MNE","Technology Hardware","Technology and Communications","Japan","Asia",NA,"english"
"Kureha Chemical Industries",2006,"KurehaChemicalIndustries_2006",NA,"Large","Chemicals","Resource Transformation","Japan","Asia",NA,"non-english"
"Kyodo Printing Group",2006,"KyodoPrintingGroup_2006",NA,"Large","Other","Other","Japan","Asia",NA,"non-english"
"Lintec",2006,"Lintec_2006",NA,"MNE","Other","Other","Japan","Asia",NA,"non-english"
"Madison Gas and Electric",2006,"MadisonGasandElectric_2006",NA,"Large","Energy","Extractives and Minerals Processing","United States of America","Northern America",NA,"english"
"MAEDA",2006,"MAEDA_2006",NA,"MNE","Construction","Infrastructure","Japan","Asia",NA,"non-english"
"Mandom",2006,"Mandom_2006",NA,"Large","Consumer Durables","Consumer Goods","Japan","Asia",NA,"non-english"
"Mango Group",2006,"MangoGroup_2006",NA,"Large","Textiles and Apparel","Consumer Goods","Spain","Europe",NA,"english"
"Megmilk",2006,"Megmilk_2006",NA,"Large","Food and Beverage Products","Food and Beverage","Japan","Asia",NA,"non-english"
"memo AG",2006,"memoAG_2006",NA,"SME","Consumer Durables","Consumer Goods","Germany","Europe",NA,"non-english"
"Motor Oil Hellas",2006,"MotorOilHellas_2006",NA,"MNE","Energy","Extractives and Minerals Processing","Greece","Europe",NA,"english"
"National Australia Bank (NAB)",2006,"NationalAustraliaBank(NAB)_2006",NA,"MNE","Financial Services","Financials","Australia","Oceania",NA,"english"
"Nexity",2006,"Nexity_2006",NA,"MNE","Real Estate","Infrastructure","France","Europe",NA,"non-english"
"Next PLC",2006,"NextPLC_2006",NA,"MNE","Retailers","Consumer Goods","United Kingdom of Great Britain and Northern Ireland","Europe",NA,"english"
"Nisshin Seifun",2006,"NisshinSeifun_2006",NA,"Large","Food and Beverage Products","Food and Beverage","Japan","Asia",NA,"non-english"
"Nissin Electric",2006,"NissinElectric_2006",NA,"MNE","Equipment","Resource Transformation","Japan","Asia",NA,"non-english"
"Nitto Denko",2006,"NittoDenko_2006",NA,"MNE","Other","Other","Japan","Asia",NA,"english"
"Nomura Research Institute",2006,"NomuraResearchInstitute_2006",NA,"MNE","Other","Other","Japan","Asia",NA,"english"
"Noritz",2006,"Noritz_2006",NA,"Large","Metals Products","Extractives and Minerals Processing","Japan","Asia",NA,"non-english"
"NSK Ltd.",2006,"NSKLtd._2006",NA,"MNE","Equipment","Resource Transformation","Japan","Asia",NA,"non-english"
"Obayashi",2006,"Obayashi_2006",NA,"MNE","Construction","Infrastructure","Japan","Asia",NA,"non-english"
"Okamura",2006,"Okamura_2006",NA,"MNE","Other","Other","Japan","Asia",NA,"non-english"
"Oki Electric Industry",2006,"OkiElectricIndustry_2006",NA,"MNE","Household and Personal Products","Consumer Goods","Japan","Asia",NA,"non-english"
"Ono Pharmaceutical",2006,"OnoPharmaceutical_2006",NA,"MNE","Chemicals","Resource Transformation","Japan","Asia",NA,"non-english"
"Orange România",2006,"OrangeRomânia_2006",NA,"Large","Telecommunications","Technology and Communications","Romania","Europe",NA,"non-english"
"Osaka Gas",2006,"OsakaGas_2006",NA,"Large","Energy","Extractives and Minerals Processing","Japan","Asia",NA,"english"
"Penta-Ocean",2006,"Penta-Ocean_2006",NA,"MNE","Construction","Infrastructure","Japan","Asia",NA,"non-english"
"Procter & Gamble",2006,"Procter&Gamble_2006",NA,"Large","Household and Personal Products","Consumer Goods","United States of America","Northern America",NA,"english"
"Renewable Energy Corporation (REC)",2006,"RenewableEnergyCorporation(REC)_2006",NA,"MNE","Other","Other","Norway","Europe",NA,"english"
